text,actual,predicted,confidence,correct
errors setting up a different shipping address,set_up_shipping_address,set_up_shipping_address,1.0,True
I want assistance updating the shipping address,change_shipping_address,change_shipping_address,1.0,True
can you help me cancelling the {{Account Category}} account?,delete_account,delete_account,1.0,True
could you help me see the withdrawal charges?,check_cancellation_fee,check_cancellation_fee,1.0,True
error setting up a damn new shipping address,set_up_shipping_address,set_up_shipping_address,1.0,True
I try to check how long reimbursements usually take,check_refund_policy,check_refund_policy,1.0,True
consumer claim against your business,complaint,complaint,1.0,True
can you help me listing your accepted payment modalities?,check_payment_methods,check_payment_methods,1.0,True
help me seeing the early exit fee,check_cancellation_fee,check_cancellation_fee,1.0,True
how can I report a sign-up error?,registration_problems,registration_problems,1.0,True
help to lodge a claim against your organization,complaint,complaint,1.0,True
can you help me purchasing a damn item?,place_order,place_order,1.0,True
wanna see how soon can i expect the package how to do it,delivery_period,delivery_period,1.0,True
help checking the status of the refund,track_refund,track_refund,1.0,True
can ya give me information about a forgotten access key,recover_password,recover_password,1.0,True
open a {{Account Type}} account,create_account,create_account,1.0,True
how can I see what shipping methods are there?,delivery_options,delivery_options,1.0,True
getbills from {{Person Name}},get_invoice,get_invoice,1.0,True
i need assistance to track the restitution,track_refund,track_refund,1.0,True
help me to see the ETA of the purchase {{Order Number}},track_order,track_order,1.0,True
i have  a trouble setting up the shipping address,set_up_shipping_address,set_up_shipping_address,1.0,True
I don't  know how I can find the invoices from {{Person Name}},check_invoice,check_invoice,1.0,True
I need assistance to switch to the {{Account Type}} account,switch_account,switch_account,1.0,True
can you help me receiving rebates of money?,get_refund,get_refund,1.0,True
need assistance to notify of errors with a registration,registration_problems,registration_problems,1.0,True
can you help me cancel purchase {{Order Number}}?,cancel_order,cancel_order,1.0,True
I don't know how to check the compensation status,track_refund,track_refund,1.0,True
I want assistance to change to the {{Account Type}} account,switch_account,switch_account,1.0,True
i need help to notify of payment errors,payment_issue,payment_issue,1.0,True
help me restoring my account key,recover_password,recover_password,1.0,True
get bills from {{Person Name}},get_invoice,get_invoice,1.0,True
question about canceling order {{Order Number}},cancel_order,cancel_order,1.0,True
where  do i lodge a consumer claim against ur company,complaint,complaint,1.0,True
modifying info on premium account,edit_account,edit_account,1.0,True
assistance seeing what hours I can contact customer service,contact_customer_service,contact_customer_service,1.0,True
is it possible to notify of a registration problem?,registration_problems,registration_problems,1.0,True
needhelp submitting some feedback,review,review,1.0,True
i need information about the termination of my {{Account Type}} account,delete_account,delete_account,1.0,True
I need assistance to check how soon can I expect my package,delivery_period,delivery_period,1.0,True
i dont know what to do to talk to an assistant,contact_human_agent,contact_human_agent,1.0,True
i call to get my invoice from {{Person Name}},get_invoice,get_invoice,1.0,True
need assistance acquiring several articles,place_order,place_order,1.0,True
wanna know about delivery periods give me some informtion,delivery_period,delivery_period,1.0,True
I need help seeing the ETA of the purchase {{Order Number}},track_order,track_order,1.0,True
help sending feedback for your company,review,review,1.0,True
I need to earn several articles,place_order,place_order,1.0,True
where can i order somedthing,place_order,place_order,1.0,True
can uhelp me cancelling purchase {{Order Number}},cancel_order,cancel_order,1.0,True
i want assistance setting the new shipping dadress up,set_up_shipping_address,set_up_shipping_address,1.0,True
i dont know what to do to notify of sign-up issues,registration_problems,registration_problems,1.0,True
i do not know how to see the cancellation penalty,check_cancellation_fee,check_cancellation_fee,1.0,True
"I have got to submit a new shipping address, I need help",set_up_shipping_address,set_up_shipping_address,1.0,True
where do I see when my item is going to arrive?,delivery_period,delivery_period,1.0,True
how can i leave my feedback for ur company,review,review,1.0,True
can you help me to see the compensation current status?,track_refund,track_refund,1.0,True
"I have to change an item of purchase {{Order Number}}, help me",change_order,change_order,1.0,True
"I want to see the status of my rebate, help me",track_refund,track_refund,1.0,True
"I have got to see your refund policy, I need assistance",check_refund_policy,check_refund_policy,1.0,True
problem with {{Account Category}} account removals,delete_account,delete_account,1.0,True
information about canceling the newsletter subscription,newsletter_subscription,newsletter_subscription,1.0,True
report a goddamn problem with payment,payment_issue,payment_issue,1.0,True
"I want to submit my feedback for your products, help me",review,review,1.0,True
I have got to unsubscribe to the company newsletter,newsletter_subscription,newsletter_subscription,1.0,True
I do not know how to close a standard account,delete_account,delete_account,1.0,True
can you help me enter the secondary shipping address ?,set_up_shipping_address,set_up_shipping_address,1.0,True
"I never make use of my {{Account Type}} account, assistance deleting it",delete_account,delete_account,1.0,True
I have to notify of issues with a signup,registration_problems,registration_problems,1.0,True
help to talk with a person,contact_human_agent,contact_human_agent,1.0,True
can you help me to ask for damn restitutions of money?,get_refund,get_refund,1.0,True
I do not know how I can see hlw soon can I expect my package,delivery_period,delivery_period,1.0,True
can you show me what delivery methods I can choose?,delivery_options,delivery_options,1.0,True
camceling order {{Order Number}},cancel_order,cancel_order,1.0,True
need to locate my invoice #37777 how do i do it,check_invoice,check_invoice,1.0,True
i want assistance to buy a few of ur article,place_order,place_order,1.0,True
I need help to submit feedback about your products,review,review,1.0,True
I need assistance to see the allowed payment options,check_payment_methods,check_payment_methods,1.0,True
help to unsubscribe to the company newsletter,newsletter_subscription,newsletter_subscription,1.0,True
I want herlp to obtain reimbursements of money,get_refund,get_refund,1.0,True
add product to purchase {{Order Number}},change_order,change_order,1.0,True
how doI see the early termination penalty?,check_cancellation_fee,check_cancellation_fee,1.0,True
see invoices from {{Person Name}},check_invoice,check_invoice,1.0,True
is it possible to create a freemium account?,create_account,create_account,1.0,True
what do i have to do to see the available payment modalities,check_payment_methods,check_payment_methods,1.0,True
unsubscribe from your corporate newsletter,newsletter_subscription,newsletter_subscription,1.0,True
I have to report a problem with signup,registration_problems,registration_problems,1.0,True
I am waiting for a refund of {{Refund Amount}} dollars,track_refund,track_refund,1.0,True
take a quick look at my invoices from {{Person Name}},check_invoice,check_invoice,1.0,True
I want to give a quick look at my invoice #12588,check_invoice,check_invoice,1.0,True
edit platinum accont,edit_account,edit_account,1.0,True
is it possible to see what delivery options I have?,delivery_options,delivery_options,1.0,True
remove item from order {{Order Number}},change_order,change_order,1.0,True
how to speak with somebody ?,contact_human_agent,contact_human_agent,1.0,True
editing {{Account Type}} account,edit_account,edit_account,1.0,True
"I have to report a sign-up issue, can you help me?",registration_problems,registration_problems,1.0,True
i want help creating a {{Account Type}} account for my dad,create_account,create_account,1.0,True
i have got to request reimbirsements of money,get_refund,get_refund,1.0,True
wanna check in wshat situations can i ask for a refund,check_refund_policy,check_refund_policy,1.0,True
I have got to see the early exit fee,check_cancellation_fee,check_cancellation_fee,1.0,True
i need assistance to locate bill #85632,check_invoice,check_invoice,1.0,True
where can i report issues with payment,payment_issue,payment_issue,1.0,True
i dont know what to do to notify of an issue with a sign-up,registration_problems,registration_problems,1.0,True
how can I cancel my subscription to your neswletter?,newsletter_subscription,newsletter_subscription,1.0,True
see in which cases can I request my money back,check_refund_policy,check_refund_policy,1.0,True
i cant pay  inform of a problem with payment,payment_issue,payment_issue,1.0,True
what do i need to do to leave an opinion for a service,review,review,1.0,True
I expect a reimbursmeent of {{Refund Amount}} dollars,track_refund,track_refund,1.0,True
i expect a refund of {{Refund Amount}} dollars has it been processed,track_refund,track_refund,1.0,True
where can I find information about changing my address?,change_shipping_address,change_shipping_address,1.0,True
assistance to restore my damn profile access key,recover_password,recover_password,1.0,True
closing {{Account Category}} account,delete_account,delete_account,1.0,True
I want help swapping an item of order {{Order Number}},change_order,change_order,1.0,True
want assistance to reset the pin of my account,recover_password,recover_password,1.0,True
i expect an rebate of {{Currency Symbol}}{{Refund Amount}},track_refund,track_refund,1.0,True
"I would like to correct order {{Order Number}}, will you help me?",change_order,change_order,1.0,True
I'm trying to check if there are any updates on the rebate,track_refund,track_refund,1.0,True
I am trying to find the shipping perod,delivery_period,delivery_period,1.0,True
I don't know how I can list the payment options,check_payment_methods,check_payment_methods,1.0,True
help me cancel purchase {{Order Number}},cancel_order,cancel_order,1.0,True
I don't know how I can speak to an agent,contact_human_agent,contact_human_agent,1.0,True
is it possible to ordet from {{Delivery Country}},delivery_options,delivery_options,1.0,True
want assistance informing of an error with online payment,payment_issue,payment_issue,1.0,True
help me to file a consumer claim,complaint,complaint,1.0,True
what do I need to do to delete a goddamn gold account?,delete_account,delete_account,1.0,True
do you deliver to {{Delivery Country}}?,delivery_options,delivery_options,1.0,True
help me to see in what cases can I ask for reimbursements,check_refund_policy,check_refund_policy,1.0,True
change details on freemium account,edit_account,edit_account,1.0,True
i cant subscribe to the damn company newsletter,newsletter_subscription,newsletter_subscription,1.0,True
I am trying to check my compensation current status,track_refund,track_refund,1.0,True
delete {{Account Category}} account,delete_account,delete_account,1.0,True
"I would like to cancel purchase {{Order Number}}, I need help",cancel_order,cancel_order,1.0,True
could I edit my damn profile?,edit_account,edit_account,1.0,True
can you help me obtaining a compensation?,get_refund,get_refund,1.0,True
order {{Order Number}} current status,track_order,track_order,1.0,True
i want assistance to solve issues with payment,payment_issue,payment_issue,1.0,True
can you help me cancelling the bloody purchase I made?,cancel_order,cancel_order,1.0,True
I don't know what I have to do to make a customer complaint,complaint,complaint,1.0,True
can i place an oeder from {{Delivery City}},delivery_options,delivery_options,1.0,True
I want help to notify of issues with payment,payment_issue,payment_issue,1.0,True
where can i leave my feedback about ur products,review,review,1.0,True
can you help me informing of errors with payment?,payment_issue,payment_issue,1.0,True
I want assistance to see how soon can I expect my purchase,delivery_period,delivery_period,1.0,True
deleting premium account,delete_account,delete_account,1.0,True
is it possible to demand a rebate of my money?,get_refund,get_refund,1.0,True
where do i restore the password ofmy account,recover_password,recover_password,1.0,True
how can i talk wiht customer service,contact_customer_service,contact_customer_service,1.0,True
i have to reset the pin code of my profile,recover_password,recover_password,1.0,True
I do not know how to retrieve my user account pwd,recover_password,recover_password,1.0,True
can i order frlm {{Delivery City}},delivery_options,delivery_options,1.0,True
could I check in what cases can I ask to be reimbursed?,check_refund_policy,check_refund_policy,1.0,True
what do i need to do to chcek when will my article arrive,delivery_period,delivery_period,1.0,True
where can I find information about an address update?,change_shipping_address,change_shipping_address,1.0,True
purchase {{Order Number}} current  status,track_order,track_order,1.0,True
I have to make a claim against your organization,complaint,complaint,1.0,True
I don't know how to make a complaint against your company,complaint,complaint,1.0,True
I do not know how to reset the pass of my profile,recover_password,recover_password,1.0,True
I do not know how to acquire a few of your product,place_order,place_order,1.0,True
could you help me to check what delivery methods I have?,delivery_options,delivery_options,1.0,True
opening standard account for wife,create_account,create_account,1.0,True
how do i shop some products,place_order,place_order,1.0,True
see in which cases can I request to be refunded,check_refund_policy,check_refund_policy,1.0,True
I would like to know about changing my delivery address,change_shipping_address,change_shipping_address,1.0,True
I need to see in what cases can I request to be refunded,check_refund_policy,check_refund_policy,1.0,True
I need to talk with customer service,contact_customer_service,contact_customer_service,1.0,True
"I want to see when will my product arrive, I need help",delivery_period,delivery_period,1.0,True
is there a way to send a comment for ur products,review,review,1.0,True
"I want astandard account, could I open it?",create_account,create_account,1.0,True
I need assistance to inform of issues with payments,payment_issue,payment_issue,1.0,True
is it possible to notify of an issue with signup,registration_problems,registration_problems,1.0,True
check accepted payment methoxs,check_payment_methods,check_payment_methods,1.0,True
I expect an reimbursement of {{Currency Symbol}}{{Refund Amount}},track_refund,track_refund,1.0,True
what do I have to do to close the {{Account Type}} account?,delete_account,delete_account,1.0,True
I try to see what shipment options are available,delivery_options,delivery_options,1.0,True
how ot edit order {{Order Number}}?,change_order,change_order,1.0,True
deleting {{Account Type}} accoumt,delete_account,delete_account,1.0,True
I do not know how to find invoice #85632,check_invoice,check_invoice,1.0,True
I want help informing of sign-up errors,registration_problems,registration_problems,1.0,True
help me to inform of an issue with online payment,payment_issue,payment_issue,1.0,True
how can i lodge a cuxtomer complaint against ur organization,complaint,complaint,1.0,True
help me sign up to ur company newsletter,newsletter_subscription,newsletter_subscription,1.0,True
can I swap something of order {{Order Number}}?,change_order,change_order,1.0,True
want help to get my money back,get_refund,get_refund,1.0,True
wanna check what payment methods uaccept,check_payment_methods,check_payment_methods,1.0,True
I don't know how I can change to the freemium account,switch_account,switch_account,1.0,True
I don't want purchase {{Order Number}},cancel_order,cancel_order,1.0,True
whaty do i need to do to check the invoice #00108,check_invoice,check_invoice,1.0,True
i have an error trying to correct my address,change_shipping_address,change_shipping_address,1.0,True
can uhelp me check what hours customer support available is,contact_customer_service,contact_customer_service,1.0,True
I want to receive your corporate newsletter,newsletter_subscription,newsletter_subscription,1.0,True
can you help me seeing in what cases can I request a refund?,check_refund_policy,check_refund_policy,1.0,True
how to make a complaint against your organization?,complaint,complaint,1.0,True
I have to see when will my article arrive,delivery_period,delivery_period,1.0,True
how do i check the current status of the reimbursement,track_refund,track_refund,1.0,True
I need help to see if there are any updates on my rebate,track_refund,track_refund,1.0,True
could you help me listing the allowed payment modalities?,check_payment_methods,check_payment_methods,1.0,True
i paid {{Currency Symbol}}{{Refund Amount}} for this order want help getting an rebate,get_refund,get_refund,1.0,True
assistance to inform of an issue with registrations,registration_problems,registration_problems,1.0,True
is it possible to report problems with sign-up?,registration_problems,registration_problems,1.0,True
I do not know how I can list the accepted payment modalitiws,check_payment_methods,check_payment_methods,1.0,True
how to demand a compensation of my money?,get_refund,get_refund,1.0,True
check ETA of order {{Order Number}},track_order,track_order,1.0,True
"I want to add something to purchase {{Order Number}}, help me",change_order,change_order,1.0,True
uhave a method to submit an opinion for ur company,review,review,1.0,True
where can i acquire an few of ur article,place_order,place_order,1.0,True
how to set up my secondary shipping address?,set_up_shipping_address,set_up_shipping_address,1.0,True
i want help to file a complaint against ur business,complaint,complaint,1.0,True
help regarding payments,payment_issue,payment_issue,1.0,True
can Icontact a person?,contact_human_agent,contact_human_agent,1.0,True
would it be possible to talk to an operator?,contact_human_agent,contact_human_agent,1.0,True
how can i see the bill #00108,check_invoice,check_invoice,1.0,True
how can I check what hours I can reach customer service?,contact_customer_service,contact_customer_service,1.0,True
where can I make a claim against your company?,complaint,complaint,1.0,True
how to notify of a trouble with online payment,payment_issue,payment_issue,1.0,True
need to inform of problems with registrations,registration_problems,registration_problems,1.0,True
i have a question about the termination of a standard acount,delete_account,delete_account,1.0,True
need to remove the platinum account,delete_account,delete_account,1.0,True
I am trying to unsubscribe from your newsletter,newsletter_subscription,newsletter_subscription,1.0,True
can you help me checking the early exit fees?,check_cancellation_fee,check_cancellation_fee,1.0,True
information about my subscription to your company newsletter,newsletter_subscription,newsletter_subscription,1.0,True
editing data on gold account,edit_account,edit_account,1.0,True
cance order {{Order Number}},cancel_order,cancel_order,1.0,True
I want help to check in which cases can I ask for a refund,check_refund_policy,check_refund_policy,1.0,True
need help canging to the premium account,switch_account,switch_account,1.0,True
want help downloading the invoice  from {{Person Name}},get_invoice,get_invoice,1.0,True
can uhelp me leaving a comment about ur services,review,review,1.0,True
I want assistance seeing how soon can I expect my parcel,delivery_period,delivery_period,1.0,True
help adding an article to purchase {{Order Number}},change_order,change_order,1.0,True
help recovering the password of my profile,recover_password,recover_password,1.0,True
what do I need to do to download my bills from {{Person Name}}?,get_invoice,get_invoice,1.0,True
I have to unsubscribe to your newsletter,newsletter_subscription,newsletter_subscription,1.0,True
do you deliver to {{Delivery City}} ?,delivery_options,delivery_options,1.0,True
i dont know how to give a quick look at bill #37777,check_invoice,check_invoice,1.0,True
I am waiting for a refund of {{Currency Symbol}}{{Refund Amount}},track_refund,track_refund,1.0,True
accepted payment methods,check_payment_methods,check_payment_methods,1.0,True
i dont know what i need to do to open a {{Account Type}} account,create_account,create_account,1.0,True
can you tell me more about a delivery address correction?,change_shipping_address,change_shipping_address,1.0,True
i want assistznce signing up to ur company newsletter,newsletter_subscription,newsletter_subscription,1.0,True
help with cancelling purchase {{Order Number}},cancel_order,cancel_order,1.0,True
I am trying to check your bloody reimbursement policy,check_refund_policy,check_refund_policy,1.0,True
is it possible to inform of a sign-up issue,registration_problems,registration_problems,1.0,True
need help to see the ETA of the purchase {{Order Number}},track_order,track_order,1.0,True
i do not know how i could leave some feedback for a product,review,review,1.0,True
hw to report troubles with payment?,payment_issue,payment_issue,1.0,True
need help to see how long it takes for my shipment to arrive,delivery_period,delivery_period,1.0,True
I am calling to write a review about a service,review,review,1.0,True
I want help seeing when will my item arrive,delivery_period,delivery_period,1.0,True
I need help opening a standard account,create_account,create_account,1.0,True
wanna see bill #85632,check_invoice,check_invoice,1.0,True
assistance sending my feedback about ur services,review,review,1.0,True
i dont know how to sign up to the newsletter,newsletter_subscription,newsletter_subscription,1.0,True
can I check purchase {{Order Number}} status?,track_order,track_order,1.0,True
I do not know how I candownload my bill #37777,get_invoice,get_invoice,1.0,True
I don't know how I can report registration errors,registration_problems,registration_problems,1.0,True
report issues with payments,payment_issue,payment_issue,1.0,True
how do i see the termination penalty,check_cancellation_fee,check_cancellation_fee,1.0,True
help me delete an article from purchase {{Order Number}},change_order,change_order,1.0,True
use {{Account Type}} account,switch_account,switch_account,1.0,True
i need assistance talking with an agent,contact_human_agent,contact_human_agent,1.0,True
"I have to speak with customer support, can you help me?",contact_customer_service,contact_customer_service,1.0,True
I'm waiting for a reimbjrsement of {{Currency Symbol}}{{Refund Amount}},track_refund,track_refund,1.0,True
I do not know how I can cancel purchase {{Order Number}},cancel_order,cancel_order,1.0,True
where do I change my shipping address?,change_shipping_address,change_shipping_address,1.0,True
i aint registered yet help me opening an {{Account Type}} account,create_account,create_account,1.0,True
can i place an oeder from {{Delivery City}},delivery_options,delivery_options,1.0,True
need assistance seeing the withdrawal penalty,check_cancellation_fee,check_cancellation_fee,1.0,True
how can i earn several of urarticle,place_order,place_order,1.0,True
where doi see the withdrawal penalties,check_cancellation_fee,check_cancellation_fee,1.0,True
I do not know what to do to check the cancellation penalties,check_cancellation_fee,check_cancellation_fee,1.0,True
see order {{Order Number}} stats,track_order,track_order,1.0,True
i have paid {{Currency Symbol}}{{Refund Amount}} for a product where to receive a rebate,get_refund,get_refund,1.0,True
change to {{Account Type}} acount,switch_account,switch_account,1.0,True
i dont know how to get a reimbursement of my money,get_refund,get_refund,1.0,True
how can I locate the invoice #37777?,check_invoice,check_invoice,1.0,True
get bill #00108,get_invoice,get_invoice,1.0,True
I'm trying to notify of payment problems,payment_issue,payment_issue,1.0,True
I cannot change some products of pirchase {{Order Number}},change_order,change_order,1.0,True
can you help me to speak to a person?,contact_human_agent,contact_human_agent,1.0,True
"I have to shop a few of your product, how could I do it?",place_order,place_order,1.0,True
i do not know what to do to purchase several of ur product,place_order,place_order,1.0,True
wat support trying to update my address,change_shipping_address,change_shipping_address,1.0,True
what do I need to do to chat with a person?,contact_human_agent,contact_human_agent,1.0,True
problem with canceling purchase {{Order Number}},cancel_order,cancel_order,1.0,True
i cant chat with an operator,contact_human_agent,contact_human_agent,1.0,True
see status of purchase {{Order Number}},track_order,track_order,1.0,True
I need hepl with opening a premium account,create_account,create_account,1.0,True
download bill from {{Person Name}},get_invoice,get_invoice,1.0,True
I have to contact an operator,contact_human_agent,contact_human_agent,1.0,True
i purchased some fucking item cancel order {{Order Number}},cancel_order,cancel_order,1.0,True
I want assistance to see the ETA of the order {{Order Number}},track_order,track_order,1.0,True
how can I check the payment modalities?,check_payment_methods,check_payment_methods,1.0,True
help recovering thr PIN of my profile,recover_password,recover_password,1.0,True
how can i notify of an issue with a signup,registration_problems,registration_problems,1.0,True
checking order {{Order Number}} current status,track_order,track_order,1.0,True
I expect a rebate of {{Refund Amount}} dollars,track_refund,track_refund,1.0,True
help me cancelling purchase {{Order Number}},cancel_order,cancel_order,1.0,True
I am trying to speak to an agent,contact_human_agent,contact_human_agent,1.0,True
edit details on freemium account,edit_account,edit_account,1.0,True
"I want to see the allowed payment methods , how can I do it?",check_payment_methods,check_payment_methods,1.0,True
can I close a {{Account Category}} account?,delete_account,delete_account,1.0,True
"I have to find the damn bill from {{Person Name}}, help me",check_invoice,check_invoice,1.0,True
"I wold like to talk to customer service, could you help me?",contact_customer_service,contact_customer_service,1.0,True
show me my invoices fromn {{Person Name}},check_invoice,check_invoice,1.0,True
i have an issue setting up my new dedlivery address,set_up_shipping_address,set_up_shipping_address,1.0,True
is it possible to purchase a few of your article?,place_order,place_order,1.0,True
getting bill #37777,get_invoice,get_invoice,1.0,True
I expect a rebate of {{Refund Amount}} dollars,track_refund,track_refund,1.0,True
I need help to see the status of my newsletter subscription,newsletter_subscription,newsletter_subscription,1.0,True
need to get the invoices from {{Person Name}},get_invoice,get_invoice,1.0,True
can uhelp me to see how long reimbursements usually take,check_refund_policy,check_refund_policy,1.0,True
need assistance modifying my user info,edit_account,edit_account,1.0,True
I need help checking the allowed payment  options,check_payment_methods,check_payment_methods,1.0,True
"I have to update purchase {{Order Number}}, how could I do it?",change_order,change_order,1.0,True
"I want to reset the bloody key of my user, will you help me?",recover_password,recover_password,1.0,True
leaving review about your company,review,review,1.0,True
were do I see at what time I can reach customer service?,contact_customer_service,contact_customer_service,1.0,True
need help filing an complaint against your company,complaint,complaint,1.0,True
could you show me inwhat cases can I ask for refunds?,check_refund_policy,check_refund_policy,1.0,True
where do I receive the corporate newsletter?,newsletter_subscription,newsletter_subscription,1.0,True
I want assistance ordering an article,place_order,place_order,1.0,True
I need help informing of an issue with payment,payment_issue,payment_issue,1.0,True
I am trying to earn several items,place_order,place_order,1.0,True
help creating account,registration_problems,create_account,1.0,False
i do not know what to do to cancel purchase {{Order Number}},cancel_order,cancel_order,1.0,True
is it possible to place a order from {{Delivery Country}}?,delivery_options,delivery_options,1.0,True
I want help canceling the standard account,delete_account,delete_account,1.0,True
where to recover the pass og my user account,recover_password,recover_password,1.0,True
how can I get information about my newsletter subscription?,newsletter_subscription,newsletter_subscription,1.0,True
"I lost my bill from {{Person Name}}, can you show them to me?",check_invoice,check_invoice,1.0,True
I do not know how I can receive the company newsletter,newsletter_subscription,newsletter_subscription,1.0,True
I want help checking how soon can I expect the parcel,delivery_period,delivery_period,1.0,True
help me retsore my pass,recover_password,recover_password,1.0,True
I can't redtore my bloody user pwd,recover_password,recover_password,1.0,True
i need help ordering several articles,place_order,place_order,1.0,True
I need help entering the shipping address,set_up_shipping_address,set_up_shipping_address,1.0,True
i try to talk with a person,contact_human_agent,contact_human_agent,1.0,True
cancel purchase  {{Order Number}},cancel_order,cancel_order,1.0,True
is it possible to cancel order {{Order Number}}?,cancel_order,cancel_order,1.0,True
wanna call cystomer assistance,contact_customer_service,contact_customer_service,1.0,True
I want assistance to get my invoices from {{Person Name}},get_invoice,get_invoice,1.0,True
help to purcase some of your item,place_order,place_order,1.0,True
check in which situations can I request my money back,check_refund_policy,check_refund_policy,1.0,True
need help with canceling order {{Order Number}},cancel_order,cancel_order,1.0,True
where do I make a customer reclamation against your company?,complaint,complaint,1.0,True
ehlp to check ur allowed payment modalities,check_payment_methods,check_payment_methods,1.0,True
can you help me checking your reimbursement policy?,check_refund_policy,check_refund_policy,1.0,True
where do I earn something?,place_order,place_order,1.0,True
i cannot pay want help to report errors with payments,payment_issue,payment_issue,1.0,True
can you help me create a different bloody platinum account?,create_account,create_account,1.0,True
could I check at what time I can call customer service?,contact_customer_service,contact_customer_service,1.0,True
I need assistance to unsubscribe from the company newsletter,newsletter_subscription,newsletter_subscription,1.0,True
I need assistance to chat with a fucking human agent,contact_human_agent,contact_human_agent,1.0,True
file reclamation against your organization,complaint,complaint,1.0,True
I want to know about correcting my delivery address,change_shipping_address,change_shipping_address,1.0,True
I try to notify of an error with online payments,payment_issue,payment_issue,1.0,True
editting details on pro account,edit_account,edit_account,1.0,True
acn ya help me to sign up to ur corporate newsletter,newsletter_subscription,newsletter_subscription,1.0,True
showing me estimated time of arrival of purchase {{Order Number}},track_order,track_order,1.0,True
another {{Account Category}} account for father,create_account,create_account,1.0,True
where can I get the invoices from {{Person Name}}?,get_invoice,get_invoice,1.0,True
wanna see at what time customer service available is,contact_customer_service,contact_customer_service,1.0,True
i need help to see the goddamn allowed payment methods,check_payment_methods,check_payment_methods,1.0,True
can I use the bloody {{Account Type}} profile?,switch_account,switch_account,1.0,True
hoe can i check the withdrawal penalties,check_cancellation_fee,check_cancellation_fee,1.0,True
I don't know how I can update my address,change_shipping_address,change_shipping_address,1.0,True
assistance seeing how soon can I exect my delivery,delivery_period,delivery_period,1.0,True
"I need to cancel a {{Account Type}} account, could you help me?",delete_account,delete_account,1.0,True
I want assistance to cancel order {{Order Number}},cancel_order,cancel_order,1.0,True
help to locate the bill from {{Person Name}},check_invoice,check_invoice,1.0,True
